Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	SM	Recharge	SUZ	SLZ	QSTZ	QSUZ	QSLZ
19811214	0.775	1.070	0.0	-18.1	0.00	0.00	42.3	117.1	0.0	0.0	76.7	0.000	0.000	0.775
19811215	0.767	1.040	0.0	-10.9	0.00	0.00	42.3	117.1	0.0	0.0	76.0	0.000	0.000	0.767
19811216	0.760	1.010	0.0	-15.3	0.00	0.00	42.3	117.1	0.0	0.0	75.2	0.000	0.000	0.760
19811217	0.752	0.970	0.0	-18.5	0.00	0.00	42.3	117.1	0.0	0.0	74.4	0.000	0.000	0.752
19811218	0.744	0.950	0.0	-11.0	0.00	0.00	42.3	117.1	0.0	0.0	73.7	0.000	0.000	0.744
19811219	0.737	0.900	0.0	-13.8	0.00	0.00	42.3	117.1	0.0	0.0	73.0	0.000	0.000	0.737
19811220	0.730	0.850	1.9	-10.0	0.00	0.00	44.2	117.1	0.0	0.0	72.2	0.000	0.000	0.730
19811221	0.722	0.820	4.4	-6.2	0.00	0.01	48.6	117.1	0.0	0.0	71.5	0.000	0.000	0.722
19811222	0.715	0.770	0.7	-3.2	0.00	0.01	49.2	117.1	0.0	0.0	70.8	0.000	0.000	0.715
19811223	0.708	0.720	0.0	-2.9	0.00	0.01	49.2	117.1	0.0	0.0	70.1	0.000	0.000	0.708
19811224	0.701	0.660	11.6	-4.8	0.00	0.01	60.8	117.1	0.0	0.0	69.4	0.000	0.000	0.701
19811225	0.694	0.660	4.9	-8.1	0.00	0.01	65.7	117.1	0.0	0.0	68.7	0.000	0.000	0.694
19811226	0.687	0.640	1.0	-11.1	0.00	0.00	66.7	117.1	0.0	0.0	68.0	0.000	0.000	0.687
19811227	0.680	0.640	5.4	-7.1	0.00	0.01	72.1	117.1	0.0	0.0	67.3	0.000	0.000	0.680
19811228	0.673	0.580	0.8	-8.5	0.00	0.01	72.9	117.1	0.0	0.0	66.7	0.000	0.000	0.673
19811229	0.667	0.580	1.5	-6.8	0.00	0.01	74.4	117.1	0.0	0.0	66.0	0.000	0.000	0.667
19811230	0.660	0.530	8.5	-1.6	0.00	0.03	82.9	117.1	0.0	0.0	65.3	0.000	0.000	0.660
19811231	0.653	0.530	0.5	-1.0	0.00	0.03	83.4	117.1	0.0	0.0	64.7	0.000	0.000	0.653
19820101	0.647	0.530	3.8	-4.0	0.00	0.03	87.2	117.1	0.0	0.0	64.0	0.000	0.000	0.647
19820102	0.640	0.520	3.1	-10.6	0.00	0.01	90.4	117.1	0.0	0.0	63.4	0.000	0.000	0.640
19820103	0.634	0.490	5.9	-8.4	0.00	0.02	96.3	117.1	0.0	0.0	62.8	0.000	0.000	0.634
19820104	0.628	0.490	0.3	-18.0	0.00	0.00	96.5	117.1	0.0	0.0	62.1	0.000	0.000	0.628
19820105	0.621	0.470	0.6	-13.9	0.00	0.00	97.1	117.1	0.0	0.0	61.5	0.000	0.000	0.621
19820106	0.615	0.470	0.4	-15.7	0.00	0.00	97.5	117.1	0.0	0.0	60.9	0.000	0.000	0.615
19820107	0.609	0.470	0.4	-17.1	0.00	0.00	97.9	117.1	0.0	0.0	60.3	0.000	0.000	0.609
19820108	0.603	0.460	0.0	-20.0	0.00	0.00	97.9	117.1	0.0	0.0	59.7	0.000	0.000	0.603
19820109	0.597	0.460	0.0	-17.3	0.00	0.00	97.9	117.1	0.0	0.0	59.1	0.000	0.000	0.597
19820110	0.591	0.440	0.0	-8.1	0.00	0.03	97.9	117.1	0.0	0.0	58.5	0.000	0.000	0.591
19820111	0.585	0.330	0.0	-6.9	0.00	0.03	97.9	117.1	0.0	0.0	57.9	0.000	0.000	0.585
19820112	0.579	0.330	0.0	-11.9	0.00	0.01	97.9	117.1	0.0	0.0	57.3	0.000	0.000	0.579
19820113	0.573	0.330	0.0	-8.7	0.00	0.03	97.9	117.1	0.0	0.0	56.8	0.000	0.000	0.573
19820114	0.568	0.330	0.0	0.2	0.00	0.07	97.9	117.1	0.0	0.0	56.2	0.000	0.000	0.568
19820115	0.562	0.320	0.0	-1.2	0.00	0.07	97.9	117.1	0.0	0.0	55.6	0.000	0.000	0.562
19820116	0.556	0.320	0.0	-5.0	0.00	0.05	97.9	117.1	0.0	0.0	55.1	0.000	0.000	0.556
19820117	0.551	0.320	0.0	-4.5	0.00	0.05	97.9	117.1	0.0	0.0	54.5	0.000	0.000	0.551
19820118	0.545	0.320	0.0	-9.7	0.00	0.03	97.9	117.1	0.0	0.0	54.0	0.000	0.000	0.545
19820119	0.540	0.330	0.3	-9.2	0.00	0.03	98.3	117.1	0.0	0.0	53.4	0.000	0.000	0.540
19820120	0.534	0.320	0.0	-10.7	0.00	0.02	98.3	117.1	0.0	0.0	52.9	0.000	0.000	0.534
19820121	0.529	0.310	0.4	-13.3	0.00	0.01	98.6	117.1	0.0	0.0	52.4	0.000	0.000	0.529
19820122	0.524	0.300	2.6	-7.5	0.00	0.05	101.3	117.1	0.0	0.0	51.8	0.000	0.000	0.524
19820123	0.518	0.300	0.1	-3.3	0.00	0.08	101.3	117.1	0.0	0.0	51.3	0.000	0.000	0.518
19820124	0.513	0.270	0.0	-14.3	0.00	0.00	101.3	117.1	0.0	0.0	50.8	0.000	0.000	0.513
19820125	0.508	0.270	4.7	-4.4	0.00	0.08	106.0	117.1	0.0	0.0	50.3	0.000	0.000	0.508
19820126	0.503	0.260	5.5	-3.8	0.00	0.09	111.6	117.1	0.0	0.0	49.8	0.000	0.000	0.503
19820127	0.498	0.250	0.9	-8.8	0.00	0.05	112.4	117.1	0.0	0.0	49.3	0.000	0.000	0.498
19820128	0.493	0.260	2.4	-13.2	0.00	0.01	114.9	117.1	0.0	0.0	48.8	0.000	0.000	0.493
19820129	0.488	0.240	1.1	-2.2	0.00	0.11	116.0	117.1	0.0	0.0	48.3	0.000	0.000	0.488
19820130	0.483	0.220	6.3	-5.5	0.00	0.08	122.3	117.1	0.0	0.0	47.8	0.000	0.000	0.483
19820131	0.478	0.250	0.0	-11.3	0.00	0.03	122.3	117.1	0.0	0.0	47.4	0.000	0.000	0.478
19820201	0.474	0.250	0.0	-15.4	0.00	0.00	122.3	117.1	0.0	0.0	46.9	0.000	0.000	0.474
19820202	0.469	0.190	0.0	-2.9	0.00	0.12	122.3	117.1	0.0	0.0	46.4	0.000	0.000	0.469
19820203	0.464	0.190	0.0	-1.7	0.00	0.13	122.3	117.1	0.0	0.0	46.0	0.000	0.000	0.464
19820204	0.460	0.190	0.0	-7.0	0.00	0.08	122.3	117.1	0.0	0.0	45.5	0.000	0.000	0.460
19820205	0.455	0.190	0.0	-9.7	0.00	0.05	122.3	117.1	0.0	0.0	45.0	0.000	0.000	0.455
19820206	0.450	0.190	16.0	-7.7	0.00	0.07	138.3	117.1	0.0	0.0	44.6	0.000	0.000	0.450
19820207	0.446	0.190	5.2	-5.2	0.00	0.11	143.5	117.1	0.0	0.0	44.1	0.000	0.000	0.446
19820208	0.441	0.180	0.0	-6.7	0.00	0.09	143.5	117.1	0.0	0.0	43.7	0.000	0.000	0.441
19820209	0.437	0.180	2.8	-3.5	0.00	0.13	146.2	117.1	0.0	0.0	43.3	0.000	0.000	0.437
19820210	0.433	0.180	0.6	1.5	0.00	0.20	146.8	117.1	0.0	0.0	42.8	0.000	0.000	0.433
19820211	0.428	0.180	0.2	1.4	0.00	0.20	147.0	117.1	0.0	0.0	42.4	0.000	0.000	0.428
19820212	0.683	0.190	1.7	1.9	0.00	0.21	145.1	117.3	3.5	2.2	43.0	0.000	0.249	0.434
19820213	0.879	0.200	0.0	1.0	0.00	0.20	141.8	117.4	3.2	4.0	43.5	0.000	0.440	0.440
19820214	0.741	0.190	0.0	-1.0	0.00	0.18	141.8	117.4	0.0	2.7	44.1	0.000	0.296	0.445
19820215	0.617	0.190	0.0	-1.3	0.00	0.18	141.8	117.4	0.0	1.5	44.6	0.000	0.166	0.451
19820216	0.506	0.180	0.0	-7.3	0.00	0.10	141.8	117.4	0.0	0.4	45.2	0.000	0.050	0.456
19820217	0.456	0.180	0.0	-5.1	0.00	0.14	141.8	117.4	0.0	0.0	45.2	0.000	0.000	0.456
19820218	0.452	0.180	0.0	-5.7	0.00	0.14	141.8	117.4	0.0	0.0	44.7	0.000	0.000	0.452
19820219	0.447	0.190	0.0	-9.5	0.00	0.08	141.8	117.4	0.0	0.0	44.3	0.000	0.000	0.447
19820220	0.443	0.190	0.0	-7.6	0.00	0.12	141.8	117.4	0.0	0.0	43.8	0.000	0.000	0.443
19820221	0.438	0.200	0.0	-9.0	0.00	0.09	141.8	117.4	0.0	0.0	43.4	0.000	0.000	0.438
19820222	0.434	0.180	0.0	-9.9	0.00	0.07	141.8	117.4	0.0	0.0	43.0	0.000	0.000	0.434
19820223	0.430	0.150	0.0	-7.2	0.00	0.14	141.8	117.4	0.0	0.0	42.5	0.000	0.000	0.430
19820224	0.425	0.150	0.0	-3.9	0.00	0.22	141.8	117.4	0.0	0.0	42.1	0.000	0.000	0.425
19820225	0.421	0.150	0.0	0.0	0.00	0.32	141.8	117.4	0.0	0.0	41.7	0.000	0.000	0.421
19820226	0.417	0.140	0.2	-3.1	0.00	0.25	142.0	117.4	0.0	0.0	41.3	0.000	0.000	0.417
19820227	0.413	0.150	0.0	-2.2	0.00	0.29	142.0	117.4	0.0	0.0	40.8	0.000	0.000	0.413
19820228	0.408	0.150	1.4	-2.7	0.00	0.28	143.3	117.4	0.0	0.0	40.4	0.000	0.000	0.408
19820301	0.404	0.170	4.3	1.7	0.00	0.42	147.6	117.4	0.0	0.0	40.0	0.000	0.000	0.404
19820302	0.937	0.190	0.0	2.8	0.00	0.46	141.1	117.7	6.3	4.7	40.6	0.000	0.527	0.410
19820303	2.405	0.200	14.7	0.6	0.00	0.40	139.1	118.3	16.1	17.9	41.2	0.000	1.989	0.416
19820304	2.112	0.300	2.1	-0.6	0.00	0.38	141.2	118.3	0.0	15.2	41.8	0.000	1.690	0.422
19820305	1.849	0.260	0.0	-4.0	0.00	0.27	141.2	118.3	0.0	12.8	42.4	0.000	1.421	0.428
19820306	1.612	0.210	0.0	-5.3	0.00	0.23	141.2	118.3	0.0	10.6	42.9	0.000	1.179	0.434
19820307	1.423	0.240	0.0	0.6	0.00	0.44	140.9	118.3	0.2	8.8	43.5	0.000	0.983	0.439
19820308	1.230	0.220	0.0	-2.1	0.00	0.35	140.9	118.3	0.0	7.1	44.0	0.000	0.785	0.445
19820309	1.057	0.240	0.0	-3.4	0.00	0.31	140.9	118.3	0.0	5.5	44.6	0.000	0.606	0.450
19820310	0.902	0.250	3.2	-0.1	0.00	0.44	144.2	118.3	0.0	4.0	45.1	0.000	0.446	0.456
19820311	1.748	0.270	9.1	0.7	0.00	0.48	143.1	118.5	9.9	11.6	45.7	0.000	1.287	0.461
19820312	2.017	0.310	2.2	0.9	0.00	0.50	140.2	118.7	4.9	14.0	46.2	0.000	1.550	0.467
